max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,1000,50,10,0.5,0.459314287882,0.805779285008,0.763381143943,0.942224484602,0.843424309183
4,1000,50,10,0.75,0.458555814865,0.806839056097,0.762092073676,0.948078391448,0.844966283373
4,1000,50,10,1,0.455849977204,0.808110781405,0.76410339711,0.946678544159,0.845637383565
4,1000,50,20,0.5,0.458293193905,0.808110781405,0.763700845267,0.947632985492,0.845771162392
4,1000,50,20,0.75,0.460728801831,0.802423343225,0.758966736972,0.94387884958,0.841382125301
4,1000,50,20,1,0.458030337457,0.806839056097,0.762494438373,0.947187579537,0.844849921911
4,1000,100,5,0.5,0.456927431535,0.807262964533,0.763088824775,0.946805803003,0.845072815655
4,1000,100,5,0.75,0.45828199606,0.805178748057,0.760072687455,0.948587426826,0.843909571991
4,1000,100,5,1,0.457655977037,0.806697753285,0.762563262166,0.946551285314,0.844651962366
4,1000,100,10,0.5,0.458687073016,0.807156987424,0.764052376834,0.944260626114,0.84464769932
4,1000,100,10,0.75,0.459242674814,0.805673307899,0.76169914301,0.945914991092,0.843869875288
4,1000,100,10,1,0.457165718609,0.807898827187,0.763952531438,0.94642402647,0.84545040462
4,1000,100,20,0.5,0.457633378948,0.80627384485,0.762706554356,0.945151438025,0.844178821853
4,1000,100,20,0.75,0.460481921502,0.804330931186,0.761004468461,0.944069737847,0.842702247698
4,1000,100,20,1,0.456651496881,0.808852621167,0.765306749749,0.945724102825,0.846001011247
4,2000,25,5,0.5,0.412826378423,0.830895859828,0.789582752321,0.948078391448,0.861596540274
4,2000,25,5,0.75,0.413888840311,0.829482831708,0.79015163594,0.943433443624,0.860012575337
4,2000,25,5,1,0.415165355841,0.829694785926,0.790366720743,0.943497073047,0.860168071977
4,2000,25,10,0.5,0.413467636503,0.829376854599,0.789264748457,0.94502417918,0.860139315638
4,2000,25,10,0.75,0.414314160026,0.828705666243,0.786502040963,0.949096462204,0.860181325671
4,2000,25,10,1,0.411233127346,0.830012717253,0.78945624682,0.946169508781,0.860731742808
4,2000,25,20,0.5,0.41765211499,0.828069803589,0.786008862562,0.948587426826,0.859671760549
4,2000,25,20,0.75,0.413749792836,0.82927087749,0.788588866172,0.946105879359,0.860194144366
4,2000,25,20,1,0.414695722226,0.828917620461,0.788833745697,0.944769661491,0.859786282684
4,2000,50,5,0.5,0.41338179165,0.830154020065,0.789954978683,0.945469585136,0.860743990081
4,2000,50,5,0.75,0.415456760721,0.829306203193,0.787926986475,0.947696614915,0.860439621853
4,2000,50,5,1,0.416984698773,0.827363289529,0.786719840196,0.945342326292,0.858760782814
4,2000,50,10,0.5,0.411699035075,0.831743676699,0.790612758081,0.948014762026,0.862186159904
4,2000,50,10,0.75,0.41556307818,0.827327963826,0.787472983663,0.943687961313,0.858526398947
4,2000,50,10,1,0.414870604233,0.828105129292,0.78770523007,0.945087808603,0.859247529021
4,2000,50,20,0.5,0.413987788493,0.82796382648,0.787367562034,0.945469585136,0.859197522382
4,2000,50,20,0.75,0.414563207616,0.828211106401,0.788328495016,0.944069737847,0.859194415339
4,2000,50,20,1,0.412235022069,0.831178465451,0.789642878571,0.948651056248,0.861867582652
4,2000,100,5,0.5,0.414206601722,0.829836088738,0.789745378785,0.945151438025,0.86048237347
4,2000,100,5,0.75,0.416181177012,0.829058923273,0.788656663422,0.945469585136,0.859964518627
4,2000,100,5,1,0.414719253631,0.827857849371,0.787543229518,0.944833290914,0.859041596933
4,2000,100,10,0.5,0.41879740184,0.825102444539,0.785657571857,0.941969966913,0.856739252249
4,2000,100,10,0.75,0.409532502187,0.833615938957,0.793258859479,0.947187579537,0.863413449809
4,2000,100,10,1,0.412811005283,0.830436625689,0.789684456357,0.946742173581,0.861104727616
4,2000,100,20,0.5,0.416129108799,0.827504592341,0.786500343294,0.946169508781,0.858971341244
4,2000,100,20,0.75,0.416085238553,0.828423060619,0.788573927972,0.944069737847,0.859338006015
4,2000,100,20,1,0.411960034321,0.831567048184,0.791818753419,0.945087808603,0.86168859075
4,3000,25,5,0.5,0.395115994747,0.837254486364,0.797741454376,0.94699669127,0.865970285116
4,3000,25,5,0.75,0.393275465744,0.838314257454,0.799907171138,0.945215067447,0.866509743074
4,3000,25,5,1,0.385416394205,0.844602232584,0.808022480995,0.944515143802,0.870951054297
4,3000,25,10,0.5,0.388776712699,0.841422919316,0.803455942751,0.945724102825,0.86880242673
4,3000,25,10,0.75,0.391466326844,0.840363148227,0.802056737585,0.945914991092,0.868062596116
4,3000,25,10,1,0.391769149166,0.840292496821,0.80225664683,0.945342326292,0.867941079771
4,3000,25,20,0.5,0.392215372438,0.838667514484,0.800694487986,0.944578773225,0.866693091213
4,3000,25,20,0.75,0.390233393386,0.839126748622,0.799969788346,0.947060320692,0.86731514962
4,3000,25,20,1,0.388758042227,0.842906598841,0.805950552184,0.94445151438,0.869718644934
4,3000,50,5,0.5,0.387262768973,0.844142998446,0.805946329063,0.947378467804,0.870957049916
4,3000,50,5,0.75,0.390029187527,0.841281616504,0.803638171358,0.94502417918,0.868614970761
4,3000,50,5,1,0.39165712251,0.839515331355,0.801856874457,0.944260626114,0.867251025049
4,3000,50,10,0.5,0.389546075215,0.839868588385,0.802005129231,0.944833290914,0.867573574003
4,3000,50,10,0.75,0.388455732706,0.840822382365,0.80245847876,0.946233138203,0.868434400629
4,3000,50,10,1,0.384384235648,0.845591352268,0.807373775319,0.948078391448,0.872083988153
4,3000,50,20,0.5,0.389228409614,0.841634873534,0.804072652642,0.94502417918,0.868865783119
4,3000,50,20,0.75,0.387000529216,0.84205878197,0.803607196479,0.946933061848,0.869402074348
